;context;emotion
6;ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny;surprise
32;i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies;surprise
57;i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations;surprise
64;i am now nearly finished the week detox and i feel amazing;surprise
129;i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home;surprise
145;i started feeling funny and then friday i woke up sick as a dog;surprise
156;im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show;surprise
157;im sorry that there wasnt more humor in this post but im not feeling all that funny;surprise
168;i want to hold this feeling of shocked awe and wonder forever;surprise
181;i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple;surprise
191;i was feeling an act of god at work in my life and it was an amazing feeling;surprise
201;i feel curious about all this things around;surprise
219;i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday;surprise
235;i feel like that s so weird that i had cancer that one time;surprise
309;i feel to have these amazing people in my life;surprise
316;i go up to her and i say feeling very impressed with myself youre naomi klein right;surprise
347;i feel a bit funny actually;surprise
351;i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to;surprise
359;i am feeling overwhelmed with the responsibilities of being a teacher that someone is trusting me with their most precious gift and it is an honor;surprise
386;i feel energized and curious again about life about god about my potential to give something back to society and about finding someone after my heart;surprise
390;i bought a virtually fat free thousand islands and feeling very impressed with myself hold large quantities of this substance on the leaves of lettuce and cucumber with my friend but it will be total sugar becomes if you do not burn fat;surprise
408;i honestly am not sure how i feel stunned;surprise
413;i really want to go buy some yardage of art gallery just to play with because it feels so amazing;surprise
444;i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something;surprise
445;i would rather feel nothing than feel this then do not be surprised if you find your life very depressing and grey and unrewarding;surprise
447;i get really sweaty during these episodes and my stomach will feel really funny like i m free falling;surprise
462;i feel so dazed a href http twitter;surprise
486;i still feel a little dazed and have that sort of disbelieving feeling of oh my god;surprise
506;i feel surprised by how down it makes me;surprise
535;i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience;surprise
559;i am feeling overwhelmed i want to physically shake everything off me the way i would if there was a spider in my shirt;surprise
612;i remember feeling amazed;surprise
649;i feel about strange brew;surprise
701;i feel strange with it because it started to be sale;surprise
739;i feel it is because mccarthy isn t at that place yet in her career where she can really consistently humanize a character while balancing out the fact they are supposed to be funny;surprise
751;im feeling amazed with my california ness at the moment currently sitting by the pool drinking a wine spritzer out of nagalene connecting via google wifi and using stellarium to figure out the stars;surprise
753;i also feel a strange sense of guilt about all the people who arent similarly situated to move to a different neighborhood;surprise
760;i feel like i shouldn t be that amazed with a degree in biology i was blown away;surprise
810;i was feeling so overwhelmed that i asked my bqff to keep of them at her house until theyre ready to be loaded so i dont feel so behind;surprise
816;i would always feel amazed at how impacted these and year olds were by this subject;surprise
835;i missed about a month combined of classes and was pretty much bed ridden for months of the semester i feel really amazed that i was able to pass;surprise
851;i thought maybe it was just my hands feeling funny but i touched my hair with my totally clean forearm and it became sticky;surprise
922;i still feel a little dazed and high which is alarming since its been hours or so;surprise
1016;i think of how much time we spent just doing fun childhood stuff together as a family i feel amazed;surprise
1141;i know i would feel weird about that and probably act strangely for a few days;surprise
1144;i feel so deeply shocked and saddened;surprise
1148;i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention;surprise
1230;i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life;surprise
1254;i feel so weird not saying goodnight to mike;surprise
1282;i feel surprised because i didnt expect it;surprise
1297;i think she just rolled out i guess she s over it already i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope;surprise
1339;i try not to laugh because sometimes it hurts vellas feelings but some of the things he does are so funny;surprise
1348;i feel not surprised by where i ended up i m happy with a lot of what i ve achieved the positions i ve put myself in;surprise
1352;i love a movie with a good feel to it that really keeps you enthralled and the road has just that;surprise
1355;i feel funny telling you about my name change anyway gracias por todo;surprise
1371;i am sure at least i hope so that the woman who responded by saying so that he could help out with the kids also feel this way but what surprised me was that all the reasons i listed above were second;surprise
1372;i loved the feeling i got during an amazing slalom run whether it was in training or in a race;surprise
1493;i sit here looking at the sentence i just typed i feel quite shocked;surprise
1494;i understand the feeling so i wouldnt be shocked;surprise
1515;i was feeling pretty impressed with myself;surprise
1548;i feel overwhelmed and humbled but i am alive to keep slugging and i m grateful for the chance;surprise
1642;im feeling so sally field like these days surprised by all the love and always with a brown mop of hair atop my head;surprise
1648;i bore my testimony that listening is one of the most important things we can do and if we feel impressed to do something even if we are unsure about it by learning to follow those impressions we will learn whether it is of ourselves or of the spirit;surprise
1702;i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there;surprise
1706;i can look at a stack of twenty five term papers and not feel overwhelmed;surprise
1727;i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along;surprise
1737;i feel surprised and disturbed actually;surprise
1739;i feel like im pretty weird and open about liking a lot of things i doubt any of my interests would surprise anyone;surprise
1756;i feel kinda strange too cause i didnt encountered with such feelings last year;surprise
1764;i am not sure why i feel the need to share this experience with the world maybe its just that now that its over its actually pretty funny;surprise
1822;i only feel curious impatient eager and confused;surprise
1861;i feel very stunned that people got it in a big way;surprise
1928;i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business;surprise
1945;i tween sat for my moms boss year old and year old boys this weekend id say babysit but that feels weird considering there were n;surprise
1954;i help busy overworked mainly but not exclusively women go from feeling overwhelmed frustrated and generally pissed about their health and appearance;surprise
1997;i feel as if im in some strange catholic vortex;surprise
1998;i have a feeling that many of you will be surprised to learn that after nearly years it s time for me to say goodbye as your guide to entertaining;surprise
2006;i feel shocked have i become that old;surprise
2015;i walked out of there with a better understanding of what was going on in the experiment but also feeling a little stunned that i had only one equation to describe all of this;surprise
2044;i can remember what it feels like to be enthralled by him i cant actually feel it;surprise
2063;ive been reading again and feeling pleasantly surprised to find my reading list contained four similar books a fine chance to compare and contrast differ;surprise
2100;i managed to take some photos today of my outfit which did feel rather strange especially as i havent taken any for such a long time;surprise
2107;i feel like im in some weird dreamworld where i can do absolutely anything;surprise
2110;im feeling really weird;surprise
2119;i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw;surprise
2140;im old enough that graduation and yk feels like just yesterday i find myself a bit stunned by this;surprise
2149;i am a mother though most days it still feels strange to realize i am one;surprise
2180;i really feel amazed on how they can do that;surprise
2195;im still feeling a bit stunned by an experience i had tonight while watching a movie;surprise
2216;i am feeling overwhelmed by daily responsibilities by expectations of my family and job by the demands on my time by my physical tiredness by the feeling that my burdens will overtake me by financial hardships by;surprise
2232;i began to feel curious and tried to percieve who i was beneath my pride and why i am who i am;surprise
2234;i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right;surprise
2248;i was feelings amazed imagining how would she feel when she will get this;surprise
2267;i am not sure if we should buy more but my hubby and i are feeling pretty impressed;surprise
2296;i remember feeling surprised that i had the option not to listen;surprise
2329;im feeling so overwhelmed;surprise
2335;i just feel more dazed and alone in the end;surprise
2347;im just thinking back and feeling utterly amazed and grateful that we live in a time when four people who needed a family could find each other despite being thousands of miles apart;surprise
2351;i feel so impressed with ia;surprise
2392;i enjoy all of these aspects of my life it is hard at times to not feel completely overwhelmed;surprise
2419;i sat silent and open mouthed as he rattled off the reasons why he loved me the special times we had shared which had confirmed his feelings and was amazed that they were the same reasons and times together that made me realize how much i loved him;surprise
2438;i feel sort of dazed and cross eyed;surprise
2459;i remember is the feeling of falling and miyavi s shocked face;surprise
2506;i will adjust to it but for now it feels so strange;surprise
2517;i watch her silently feeling dazed from my memory loss;surprise
2524;i sit down to author this letter i feel a little surprised that an entire year has already passed us by;surprise
